simulant_id,first_name,middle_initial,last_name,age,date_of_birth,street_name,city,state,zipcode,sex,race_ethnicity
0_2,Diana,P,Kofron,25,05/06/1994,145th st,Anytown,NC,00000,Female,Black
0_3,Anna,A,Kofron,25,09/29/1994,145th st,Anytown,WA,00000,Female,White
0_923,Gerald,R,Butler,76,11/73/1443,mallory ln,Anytown,WA,00000,Male,Black
0_2641,Loretta,T,Xarley,61,06/01/1958,delacorte dr,Anjtown,OH,00000,Female,White
0_2801,Richard,R,Jones,73,03/03/1947,caribou lane,Anytown,,00000,Male,White
0_6176,Sandra,S,,66,03/18/1954,windsor pl,Anytown,UT,00000,Female,Multiracial or Other
0_13972,Jerry,E,Murray,44,01/03/1950,winding trail rd,Anytown,WA,,Male,Multiracial or Other
0_13973,Anida,R,Murray,70,11/06/1949,winding trail rd,Anytown,WA,00000,Female,Multiracial or Other
0_13974,Jada,,Murray,45,04/11/1974,winding trail rd,Anyton,,00000,Female,White
0_13975,Toni,K,Murray,44,02/12/1976,winding trail rd,Anytown,WA,00000,Male,
0_4,Eric,R,Alonso Tellez,38,05/29/1981,interlake ave n,Anytown,WA,00000,Male,Latino
0_5,Erin,R,Alonso Tellez,40,10/27/1979,interlake ave n,Anytown,WA,00000,Female,Latino
0_6,,N,Alonso Tellez,6,07/30/2013,interlake ave n,Anytown,MA,00000,Male,Latino
0_5622,Sister,,Castillo,16,06/10/2003,stoke ct,Amytown,IL,,Female,
0_7251,Patrick,,Rodriguez,53,03/26/1966,broomfield ln,Anytown,WA,00090,Male,Latino
0_7252,,D,Rodriguez,41,05/26/1978,bahoomfield ln,Anytown,WA,00000,Female,Latino
0_7254,Caleb,G,Rodriguez,13,01/10/2007,broomfield ln,,WA,00000,,White
0_7255,Henry,C,Son,41,07/09/2007,broomfield ln,Anytown,WA,00000,Female,White
0_7256,Kynleigh,J,Rodriruez,3,05/06/2017,broomfield ln,Anytown,WA,00000,Male,White
0_9,Elijah,N,,4,10/04/1967,eagle heights,Anytown,WA,00000,Male,White
0_5189,David,R,,51,09/13/1969,stromberg ct,Anytown,WA,00000,Male,White
0_5190,Sara,H,Schletzbaum,40,05/30/1980,stromberg ct,Anytown,WA,02000,Female,White
0_5191,Brooklyn,N,Schletzbaum,12,10/20/2007,stromberg ct,,,00000,Female,
0_5192,Reed,T,Schletzbaum,8,05/03/2012,,Anytown,WA,00000,Male,AIAN
0_8436,Anne,K,G,61,06/08/1958,jacob lois dr,Anytown,WA,,Female,White
0_8437,Bruce,M,Matheny,63,01/17/1957,jacob lois dr,Anytown,,00000,Male,Black
0_9013,D,J,Taylor,,01/09/1947,qhippilrwill dr,Anytown,WA,00000,Male,White
